Japenese Together,Japanese,Ja to En
前 13797,前 ,Previous
中 13659,中 ,Medium
必要 12693,必要 ,need 
み 12684,み ,fruit 
ため 12595,ため ,For
もの 12497,もの ,thing 
あの 12166,あの ,Umm
待 11991,待 ,Wait
奴 11988,奴 ,He
気 11831,気 ,air 
無 11783,無 ,Nothing
良 11508,良 ,good 
大丈夫 11401,大丈夫 ,Are you okay 
我々 11352,我々 ,We
自分 11296,自分 ,myself 
持 10946,持 ,Hold
時間 10888,時間 ,time
一 10740,一 ,One
なぜ 10657,なぜ ,why 
家 10561,家 ,house
本当 10474,本当 ,TRUE 
まだ 10444,まだ ,still 
そんな 10423,そんな ,Such
的 10057,的 ,target
む 9825,む ,nothing 
戻 9770,戻 ,Back
ありがとう 9705,ありがとう ,thank you 
いや 9671,いや ,no 
男 9654,男 ,man
考え 9648,考え ,thought 
会 9621,会 ,Association
年 9446,年 ,year
日 9285,日 ,Day
方 9115,方 ,direction 
そして 8980,そして ,and 
仕事 8928,仕事 ,work 
手 8878,手 ,Hand
見つけ 8859,見つけ ,Find
ちょっと 8806,ちょっと ,a little bit 
じ 8802,じ ,character 
いつ 8800,いつ ,when 
出来 8744,出来 ,Done
違 8579,違 ,Difference
後 8340,後 ,After
他 8258,他 ,others
そこ 8208,そこ ,There 
一緒 8202,一緒 ,together 
電話 8164,電話 ,telephone
すぐ 7892,すぐ ,Immediately
悪 7746,悪 ,evil 
なさ 7733,なさ ,No
入 7720,入 ,Enter
助け 7672,助け ,Help
ええ 7566,ええ ,Yeah 
なんて 7530,なんて ,What?
目 7390,目 ,eye 
所 7350,所 ,place
やめ 7342,やめ ,Stop
車 7186,車 ,car
居 7140,居 ,Location
分 7074,分 ,minutes
なん 7020,なん ,what 
みたい 6966,みたい ,Like
より 6902,より ,More
様 6740,様 ,Mr 
あんた 6688,あんた ,You
こ 6637,こ ,child 
また 6628,また ,Also 
場所 6587,場所 ,place 
みんな 6576,みんな ,everyone 
父 6561,父 ,father 
度 6535,度 ,Degree
べ 6525,べ ,B
欲し 6444,欲し ,Want
同じ 6368,同じ ,same 
金 6319,金 ,Gold
しろ 6273,しろ ,white 
問題 6257,問題 ,problem
こんな 6230,こんな ,Like this
おい 6213,おい ,Hey 
え 6213,え ,picture 
子供 6200,子供 ,child 
愛 5894,愛 ,love
名前 5803,名前 ,name 
帰 5741,帰 ,Return
子 5683,子 ,Child
もし 5650,もし ,if 
ただ 5645,ただ ,just 
はず 5634,はず ,Should
信 5617,信 ,Faith
全て 5594,全て ,all 
けれ 5491,けれ ,However
好き 5463,好き ,like 
ご 5433,ご ,Go 
使 5432,使 ,messenger
少し 5421,少し ,a bit 
くださ 5409,くださ ,Please
さあ 5327,さあ ,here we go 
見え 5300,見え ,Look
通り 5246,通り ,street 
教え 5243,教え ,lesson 
皆 5238,皆 ,Everyone
ー 5236,ー ,-
為 5147,為 ,for the sake of
入れ 5143,入れ ,Get in 
よく 5122,よく ,often 
つもり 5097,つもり ,Intention
来る 5094,来る ,come 
早 5094,早 ,early
探 5069,探 ,Search
物 5007,物 ,thing 
人間 5004,人間 ,human 
ダメ 4980,ダメ ,No
パパ 4973,パパ ,Dad
世界 4964,世界 ,world
上 4933,上 ,top
どんな 4916,どんな ,what kind 
もっと 4852,もっと ,more 
ママ 4845,ママ ,Mom
頼 4839,頼 ,Reliance
ちゃ 4756,ちゃ ,tea 
l 4733,l ,l
行け 4731,行け ,GO
よし 4722,よし ,Okay.
女 4680,女 ,woman
止め 4672,止め ,Stop
呼 4671,呼 ,call
警察 4662,警察 ,police
心配 4624,心配 ,anxiety 
ぜ 4552,ぜ ,Ze
ぬ 4540,ぬ ,N
願 4501,願 ,wish
今日 4499,今日 ,today 
逃げ 4490,逃げ ,Run away
官 4463,官 ,Government
ところ 4421,ところ ,Place
こっち 4412,こっち ,This way
関係 4403,関係 ,relationship 
生き 4383,生き ,Living
すべて 4376,すべて ,all 
家族 4356,家族 ,family 
連れ 4339,連れ ,Companion
撃 4298,撃 ,Attack
外 4285,外 ,outside
ごめん 4273,ごめん ,sorry 
母 4242,母 ,mother 
起き 4233,起き ,Wake up
いいえ 4177,いいえ ,no 
神 4146,神 ,god
力 4123,力 ,power
しま 4119,しま ,Island
ず 4114,ず ,figure 
じゃあ 4113,じゃあ ,Well then
捜査 4108,捜査 ,Investigation
あれ 4064,あれ ,That
忘れ 4041,忘れ ,Forget
意味 4037,意味 ,meaning 
しかし 4020,しかし ,but 
最後 4004,最後 ,last
くる 3995,くる ,Come
息子 3989,息子 ,son 
きゃ 3976,きゃ ,Kya
娘 3963,娘 ,daughter 
次 3915,次 ,Next 
取 3906,取 ,Tori
ねえ 3876,ねえ ,Hey 
間 3848,間 ,between
終わ 3828,終わ ,End
殺人 3796,殺人 ,murder
しれ 3789,しれ ,Know
書 3781,書 ,calligraphy
つけ 3779,つけ ,Add
全部 3777,全部 ,All
情報 3775,情報 ,information 
起こ 3768,起こ ,Wake up
作 3747,作 ,Made by
頭 3727,頭 ,head
銃 3720,銃 ,Guns
事件 3710,事件 ,incident
調べ 3692,調べ ,Research
理由 3661,理由 ,reason 
もちろん 3625,もちろん ,of course 
もら 3601,もら ,Mora
ジョン 3597,ジョン ,John
数 3594,数 ,Number
準備 3590,準備 ,preparation
とても 3570,とても ,very 
うん 3563,うん ,Yeah 
しか 3540,しか ,deer 
連絡 3539,連絡 ,contact 
残 3539,残 ,Residue
別 3521,別 ,another 
心 3510,心 ,heart
一人 3483,一人 ,One person
以上 3483,以上 ,End
長 3477,長 ,long
ずっと 3461,ずっと ,forever 
回 3447,回 ,times 
部屋 3437,部屋 ,room 
下さ 3422,下さ ,Down
守 3417,守 ,Mamoru
見せ 3414,見せ ,Show
始め 3408,始め ,Beginning
丶 3389,丶 ,丶
人生 3380,人生 ,life
危険 3380,危険 ,danger 
続け 3355,続け ,Continue
覚え 3354,覚え ,Remember
女性 3341,女性 ,woman 
すれ 3332,すれ ,Pass
ぶ 3330,ぶ ,B
安全 3317,安全 ,safety
こう 3304,こう ,like this 
貴方 3265,貴方 ,you 
急 3262,急 ,Urgent
新し 3257,新し ,New
最初 3242,最初 ,first 
万 3231,万 ,Ten thousand 
約束 3231,約束 ,promise 
なに 3225,なに ,what 
ドル 3188,ドル ,Dollar
結婚 3153,結婚 ,Marriage
飲 3135,飲 ,drinking
下 3132,下 ,bottom
方法 3124,方法 ,method
得 3115,得 ,profit
二 3114,二 ,Two
わけ 3076,わけ ,Reason
友達 3058,友達 ,friend 
食べ 3040,食べ ,Eat
オレ 3039,オレ ,Me
すぎ 3030,すぎ ,Too much
すご 3006,すご ,Amazing
計画 3006,計画 ,plan 
無理 3005,無理 ,Impossible 
楽し 2972,楽し ,Fun
顔 2969,顔 ,face 
仲間 2958,仲間 ,fellow 
送 2949,送 ,Sending
こちら 2905,こちら ,Here
可能 2885,可能 ,Possible
聞こえ 2884,聞こえ ,Hearing
夜 2884,夜 ,night 
あいつ 2882,あいつ ,That guy
友人 2880,友人 ,Friends
犯人 2879,犯人 ,culprit 
はい 2874,はい ,yes 
性 2852,性 ,sex
まあ 2841,まあ ,oh dear 
i 2833,i ,i
まま 2832,まま ,Mama
先 2827,先 ,destination
かけ 2825,かけ ,Kake
バカ 2818,バカ ,fool 
どうぞ 2811,どうぞ ,please 
いけ 2790,いけ ,Go
せい 2790,せい ,because of 
ほど 2790,ほど ,About
かしら 2788,かしら ,I wonder
嘘 2787,嘘 ,lie 
変わ 2786,変わ ,Change
命 2769,命 ,Life
失 2767,失 ,loss
確認 2763,確認 ,confirmation 
そ 2757,そ ,So 
最高 2750,最高 ,the best
あと 2738,あと ,After 
感じ 2733,感じ ,Feeling
とき 2718,とき ,Time
着 2717,着 ,arrival
動 2715,動 ,motion
the 2699,the ,the
け 2696,け ,hair 
船 2694,船 ,ship
ほら 2676,ほら ,Look.
機 2675,機 ,machine
与え 2646,与え ,Give
明日 2643,明日 ,tomorrow 
全員 2642,全員 ,Everyone
二人 2627,二人 ,two people
くらい 2623,くらい ,About
開け 2598,開け ,Open
あげ 2590,あげ ,Give
理解 2587,理解 ,understanding
質問 2582,質問 ,question 
たら 2574,たら ,Tara
不 2572,不 ,No
確か 2565,確か ,Certainly
怖 2562,怖 ,fear 
こいつ 2562,こいつ ,This guy
あぁ 2551,あぁ ,Ah
離れ 2526,離れ ,Annex
どの 2524,どの ,Which
答え 2514,答え ,answer 
たり 2512,たり ,Or
とも 2502,とも ,friend 
置 2493,置 ,Place
素晴らし 2484,素晴らし ,Wonderful
今夜 2475,今夜 ,tonight 
言え 2466,言え ,Say
見つか 2462,見つか ,Found
こそ 2461,こそ ,Yes
黙 2457,黙 ,Silence
イ 2438,イ ,stomach 
つまり 2435,つまり ,In other words 
受け 2433,受け ,Receiver
you 2425,you ,you
伝え 2424,伝え ,Tell
第 2418,第 ,No.
クソ 2417,クソ ,Shit
感謝 2417,感謝 ,thanks
ドア 2414,ドア ,Door
用 2407,用 ,for
妻 2400,妻 ,wife 
写真 2396,写真 ,photograph 
街 2386,街 ,Town
盗 2376,盗 ,theft
うち 2369,うち ,home 
本 2355,本 ,Books
感 2350,感 ,Feeling
渡 2348,渡 ,Watari
博士 2346,博士 ,doctor
説明 2339,説明 ,explanation 
かか 2338,かか ,Kaka 
証拠 2332,証拠 ,evidence 
うま 2318,うま ,horse 
向か 2313,向か ,Towards
望 2310,望 ,Desire
乗 2308,乗 ,Ride
道 2306,道 ,road 
だめ 2302,だめ ,No
正し 2300,正し ,Correct
寝 2298,寝 ,Sleep
言葉 2294,言葉 ,words 
買 2293,買 ,Buy
働 2286,働 ,Work
失礼 2286,失礼 ,rude 
攻撃 2280,攻撃 ,attack 
夢 2270,夢 ,dream 
立 2268,立 ,standing
大 2236,大 ,large
逮捕 2226,逮捕 ,Arrest
歳 2220,歳 ,age 
たぶん 2219,たぶん ,perhaps 
名 2209,名 ,given name 
野郎 2194,野郎 ,Bastard
隠 2192,隠 ,Hidden
戦 2191,戦 ,Battle
座 2189,座 ,seat
国 2188,国 ,country
終わり 2185,終わり ,end 
強 2173,強 ,Strong
どれ 2170,どれ ,which one 
ちゃん 2163,ちゃん ,Chan
件 2160,件 ,subject 
救 2158,救 ,salvation
きっと 2154,きっと ,surely 
絶対 2151,絶対 ,absolute 
警官 2147,警官 ,police officer
血 2143,血 ,blood
ある 2129,ある ,be 
刑事 2126,刑事 ,detective
先生 2121,先生 ,teacher
なし 2114,なし ,none 
まず 2112,まず ,first 
父親 2107,父親 ,father
状況 2107,状況 ,situation 
会社 2102,会社 ,company 
番 2091,番 ,No.
間違い 2085,間違い ,error 
嫌 2085,嫌 ,No
重要 2082,重要 ,important
捕まえ 2082,捕まえ ,Catch
室 2079,室 ,room
員 2075,員 ,member
週間 2073,週間 ,week 
了解 2068,了解 ,roger that 
a 2068,a ,a
なんか 2066,なんか ,Something
十分 2065,十分 ,Enough
秘密 2058,秘密 ,secret
変え 2037,変え ,Change
元気 2027,元気 ,fine 
一番 1997,一番 ,number one 
やあ 1996,やあ ,Hi 
やつ 1992,やつ ,Guy
大統領 1971,大統領 ,president 
一体 1970,一体 ,Together
水 1964,水 ,water
ち 1963,ち ,Chi 
会え 1957,会え ,Meet
犯 1948,犯 ,crime
犯罪 1944,犯罪 ,crime
過ぎ 1944,過ぎ ,past
残念 1939,残念 ,disappointing 
自由 1935,自由 ,freedom
士 1934,士 ,Scholar
敵 1934,敵 ,enemy 
報告 1933,報告 ,report
やれ 1931,やれ ,Do it
もん 1930,もん ,Mon
簡単 1927,簡単 ,easy 
音 1926,音 ,sound 
消え 1926,消え ,vanish 
命令 1924,命令 ,command
相手 1916,相手 ,partner 
声 1910,声 ,Voice
王 1902,王 ,king
ござ 1896,ござ ,Goza
おまえ 1892,おまえ ,You
対 1889,対 ,versus 
多く 1888,多く ,Many
アメリカ 1881,アメリカ ,America 
チーム 1862,チーム ,Team
通 1855,通 ,General
ひど 1854,ひど ,Terrible
自身 1850,自身 ,Self
等 1846,等 ,etc.
語 1846,語 ,Language
母親 1832,母親 ,mother
選 1826,選 ,Selection
ヤツ 1822,ヤツ ,That guy
何処 1819,何処 ,Where
切 1815,切 ,Cut
らし 1808,らし ,Rashi
学校 1807,学校 ,school
元 1805,元 ,Former
昔 1804,昔 ,long ago 
人々 1786,人々 ,people 
被害 1785,被害 ,damage 
ジャック 1782,ジャック ,Jack
読 1778,読 ,Read
大変 1772,大変 ,hard 
口 1768,口 ,mouth
奥 1764,奥 ,Oku
要 1762,要 ,Essential
あそこ 1761,あそこ ,over there 
真実 1749,真実 ,truth 
記録 1747,記録 ,record 
戦争 1746,戦争 ,war 
決め 1745,決め ,Decision
病院 1728,病院 ,hospital 
携帯 1728,携帯 ,cell phone 
店 1724,店 ,shop 
許 1722,許 ,permission
深 1720,深 ,deep
月 1718,月 ,moon
監視 1715,監視 ,Monitoring
実 1712,実 ,fruit 
学 1712,学 ,study
体 1710,体 ,Body
初めて 1705,初めて ,first time 
思い出 1705,思い出 ,memory 
運 1699,運 ,Luck
高 1696,高 ,high
武器 1694,武器 ,weapon
手伝 1693,手伝 ,help 
to 1693,to ,to
など 1686,など ,etc.
責任 1683,責任 ,responsibility
間違 1661,間違 ,mistake 
ほう 1659,ほう ,law 
変 1657,変 ,strange 
ばかり 1657,ばかり ,Just
協力 1656,協力 ,cooperation 
犬 1654,犬 ,dog 
役 1650,役 ,Role
落ち着 1646,落ち着 ,Calm down
頃 1644,頃 ,Around
行動 1640,行動 ,action
実際 1638,実際 ,actual 
存在 1638,存在 ,existence
発見 1636,発見 ,discovery 
解決 1634,解決 ,solution
刑務 1633,刑務 ,Prison
追 1628,追 ,Follow up
番号 1624,番号 ,number 
捨て 1621,捨て ,Throw away
兄 1606,兄 ,older brother 
こんにちは 1605,こんにちは ,Hello 
大きな 1597,大きな ,Large
サム 1592,サム ,Sam
返 1592,返 ,return
罪 1589,罪 ,sin
足 1589,足 ,feet 
いえ 1588,いえ ,home 
研究 1586,研究 ,the study 
ボス 1585,ボス ,Boss
させ 1584,させ ,Let
歩 1579,歩 ,Pace
さえ 1578,さえ ,Even
軍 1578,軍 ,army
結果 1575,結果 ,result
冗談 1570,冗談 ,joke 
かなり 1570,かなり ,pretty 
ながら 1565,ながら ,While
薬 1565,薬 ,medicine 
ジェーン 1564,ジェーン ,Jane
ほし 1557,ほし ,star 
驚 1555,驚 ,Surprise
気持ち 1554,気持ち ,feeling 
破壊 1553,破壊 ,destruction 
任せ 1551,任せ ,leave to 
興味 1549,興味 ,interest 
カメラ 1548,カメラ ,Camera
場 1546,場 ,place
上手 1544,上手 ,good 
弁護 1543,弁護 ,Defense
払 1537,払 ,Payment
住 1537,住 ,residence
fbi 1536,fbi ,fbi
死体 1533,死体 ,Corpse
怒 1521,怒 ,anger
生活 1520,生活 ,life
状態 1513,状態 ,situation 
調査 1508,調査 ,investigation 
気分 1508,気分 ,feeling 
ヶ月 1507,ヶ月 ,months
なれ 1506,なれ ,Become familiar
来い 1500,来い ,come 
ゲーム 1499,ゲーム ,Games
近く 1497,近く ,near 
夫 1496,夫 ,husband 
済 1492,済 ,done 
地球 1490,地球 ,earth
願い 1489,願い ,Wish
止ま 1488,止ま ,Stop
そいつ 1481,そいつ ,That guy
兄弟 1478,兄弟 ,brothers
嬉し 1478,嬉し ,Happy
信用 1478,信用 ,trust
何故 1471,何故 ,Why
以外 1463,以外 ,other than 
大き 1457,大き ,Large
運転 1457,運転 ,driving 
なあ 1450,なあ ,Hey
ぼく 1449,ぼく ,I 
売 1448,売 ,Sell
普通 1445,普通 ,Normal
事故 1441,事故 ,Accident
後ろ 1439,後ろ ,behind 
歌 1437,歌 ,song
おかし 1435,おかし ,Candy
今度 1435,今度 ,next time 
大事 1433,大事 ,Important
医者 1432,医者 ,doctor 
場合 1431,場合 ,case 
政府 1428,政府 ,government
チャンス 1427,チャンス ,Opportunity
あまり 1427,あまり ,not much 
有 1420,有 ,Yes
サラ 1415,サラ ,Sarah
開 1412,開 ,Open
不明 1412,不明 ,not clear 
装置 1406,装置 ,Device 
現場 1404,現場 ,On-site
遅 1403,遅 ,Slow
邪魔 1400,邪魔 ,obstacle 
目的 1399,目的 ,the purpose 
静か 1398,静か ,quiet 
限り 1392,限り ,as long as 
もしもし 1391,もしもし ,hello 
少な 1390,少な ,Few
飛行 1390,飛行 ,flight
精神 1387,精神 ,spirit
朝 1386,朝 ,morning 
映画 1383,映画 ,movie 
幸せ 1382,幸せ ,happiness 
さて 1376,さて ,Now
取引 1371,取引 ,Trading
ガ 1371,ガ ,G
話せ 1368,話せ ,Speak
連中 1366,連中 ,Guys
ちゃんと 1363,ちゃんと ,Properly
人物 1362,人物 ,person
多分 1361,多分 ,perhaps 
弟 1360,弟 ,younger brother 
特別 1356,特別 ,special
恐れ 1354,恐れ ,Fear
唯一 1353,唯一 ,only
容疑 1350,容疑 ,Suspicion
古 1348,古 ,old
認め 1347,認め ,Acknowledgement
多 1340,多 ,Many
共 1339,共 ,jointly
ねぇ 1336,ねぇ ,Hey
互い 1334,互い ,Each other
移動 1332,移動 ,move
銀行 1332,銀行 ,bank
用意 1332,用意 ,preparation 
たくさん 1332,たくさん ,a lot 
警備 1331,警備 ,Security
面白 1328,面白 ,Interesting
最近 1324,最近 ,recently 
裁判 1323,裁判 ,Trial
全く 1323,全く ,absolutely 
とおり 1323,とおり ,As expected
犠牲 1322,犠牲 ,Sacrifice
昨日 1320,昨日 ,Yesterday
ぐ 1319,ぐ ,ingredient 
傷 1316,傷 ,Wound
あら 1314,あら ,fault 
信じ 1314,信じ ,Believe
傷つけ 1311,傷つけ ,Hurt
過去 1308,過去 ,past
町 1306,町 ,town 
キミ 1305,キミ ,Kimi
落ち 1305,落ち ,Fall
完全 1304,完全 ,complete
求め 1297,求め ,Request
システム 1295,システム ,System
始ま 1293,始ま ,Start
失敗 1291,失敗 ,failure
さぁ 1290,さぁ ,Now
選択 1289,選択 ,choice 
あんな 1284,あんな ,Anna
信頼 1283,信頼 ,trust 
無事 1281,無事 ,Safe
生 1280,生 ,raw
美し 1277,美し ,Beautiful
島 1275,島 ,island
客 1274,客 ,Customer
くそ 1273,くそ ,Fuck 
隠れ 1268,隠れ ,Hidden
付け 1263,付け ,Add
素敵 1263,素敵 ,nice 
若 1262,若 ,young
リスト 1258,リスト ,List
想像 1257,想像 ,imagination
気づ 1253,気づ ,Notice
決して 1251,決して ,Never
馬鹿 1250,馬鹿 ,Idiot
鍵 1250,鍵 ,key
聞け 1250,聞け ,Listen!
とにかく 1244,とにかく ,anyway 
身 1244,身 ,Body
判 1243,判 ,judgment
証明 1243,証明 ,Proof 
やす 1241,やす ,Yasu 
女の子 1241,女の子 ,girl 
姿 1239,姿 ,figure 
嫌い 1239,嫌い ,dislike 
価値 1237,価値 ,value 
and 1237,and ,and
もらえ 1236,もらえ ,Get it
州 1232,州 ,state
服 1226,服 ,clothes
未来 1225,未来 ,future
必ず 1218,必ず ,surely 
カ 1215,カ ,mosquito 
ビル 1215,ビル ,Building
め 1214,め ,eye 
以前 1213,以前 ,Previously
奪 1213,奪 ,Robbery
まるで 1211,まるで ,Just like
ウソ 1208,ウソ ,Lie
三 1207,三 ,Three
ピーター 1204,ピーター ,Peter
マジ 1204,マジ ,Seriously
両親 1198,両親 ,parents 
痛 1198,痛 ,Pain
非常 1197,非常 ,emergency
壁 1192,壁 ,wall 
妹 1187,妹 ,younger sister 
違い 1181,違い ,difference 
借り 1181,借り ,Borrow
無駄 1180,無駄 ,waste 
丿 1178,丿 ,丿
待て 1177,待て ,Wait
思え 1175,思え ,Think
ホテル 1174,ホテル ,Hotel
治療 1172,治療 ,treatment
まさか 1171,まさか ,No way
大学 1170,大学 ,university
降り 1169,降り ,Get off
メール 1166,メール ,Email
年間 1165,年間 ,Annual
記憶 1161,記憶 ,memory
カード 1160,カード ,Cards
部 1160,部 ,Department
現れ 1159,現れ ,Appearance
病気 1157,病気 ,disease 
爆弾 1157,爆弾 ,Bomb
経験 1157,経験 ,experience 
難し 1157,難し ,difficult 
注意 1152,注意 ,Note 
レッド 1150,レッド ,Red
いく 1150,いく ,go 
腕 1149,腕 ,arm 
走 1147,走 ,Run
正直 1145,正直 ,Honesty 
今回 1142,今回 ,this time 
最も 1142,最も ,Most
任務 1141,任務 ,mission
ハイ 1140,ハイ ,High
許可 1137,許可 ,permission 
ホント 1136,ホント ,Really?
生まれ 1135,生まれ ,Born
関 1133,関 ,Seki
空 1132,空 ,sky
貸 1131,貸 ,loan
とこ 1128,とこ ,Toko
品 1127,品 ,Product
組織 1126,組織 ,organization
本気 1124,本気 ,Serious
風 1122,風 ,Wind
氏 1122,氏 ,Mr 
化 1118,化 ,transformation
宇宙 1113,宇宙 ,universe 
げ 1113,げ ,Ge 
近づ 1111,近づ ,Approach
おはよう 1104,おはよう ,good morning 
訳 1103,訳 ,reason 
事実 1103,事実 ,fact 
昨夜 1102,昨夜 ,last night 
本物 1099,本物 ,Genuine
予定 1097,予定 ,schedule 
科学 1092,科学 ,science
内 1090,内 ,Inside
えっ 1089,えっ ,Huh?
放 1088,放 ,release
ショー 1086,ショー ,Show
ス 1083,ス ,vinegar 
やが 1082,やが ,Soon
狂 1081,狂 ,crazy
ひと 1081,ひと ,people 
完璧 1080,完璧 ,perfection 
最悪 1079,最悪 ,worst 
秒 1079,秒 ,seconds
点 1077,点 ,point
首 1076,首 ,neck
進 1074,進 ,Susumu
追跡 1074,追跡 ,Tracking
笑 1070,笑 ,lol 
少年 1070,少年 ,boy
望み 1066,望み ,Hope
頑張 1066,頑張 ,Do your best
我 1065,我 ,I
従 1064,従 ,Follow
襲 1063,襲 ,attack
いま 1062,いま ,now 
爆発 1061,爆発 ,explosion 
時代 1060,時代 ,era
消 1057,消 ,Disappear
悪魔 1057,悪魔 ,devil 
ちょうど 1057,ちょうど ,just 
勝 1056,勝 ,Victory
あっ 1051,あっ ,Ah
法 1051,法 ,law
小さな 1050,小さな ,Small
ベッド 1050,ベッド ,Bed
階 1049,階 ,Floor
ニュース 1049,ニュース ,News
戦い 1047,戦い ,Battle
成功 1047,成功 ,success
式 1045,式 ,expression
個人 1044,個人 ,individual
ジョー 1044,ジョー ,Joe
保護 1044,保護 ,protection
地下 1041,地下 ,underground
作戦 1040,作戦 ,Operation
光 1040,光 ,light
ミス 1039,ミス ,Miss
どっち 1038,どっち ,Which one?
無し 1037,無し ,none 
残り 1033,残り ,rest 
レンジャー 1032,レンジャー ,Ranger
疲れ 1031,疲れ ,Fatigue
眠 1031,眠 ,sleep
困 1026,困 ,trouble
利用 1024,利用 ,use 
狙 1022,狙 ,Aim
期待 1018,期待 ,Expectations
忙し 1017,忙し ,Busy
調子 1017,調子 ,condition 
向こう 1016,向こう ,Over there
技術 1016,技術 ,technology
下が 1015,下が ,Below
やぁ 1011,やぁ ,Hey
ほとんど 1009,ほとんど ,largely 
わし 1009,わし ,"eagle, I "
落ち着け 1008,落ち着け ,Calm down
今朝 1005,今朝 ,this morning 
使え 1002,使え ,Use
試 999,試 ,trial
我が 998,我が ,My
平気 996,平気 ,Calm
パーティー 996,パーティー ,Party
駄目 996,駄目 ,No.
明らか 995,明らか ,clear 
患者 994,患者 ,patient
くそっ 994,くそっ ,Damn it
局 993,局 ,station
線 992,線 ,line
さっき 991,さっき ,some time ago 
当然 989,当然 ,Naturally
喜 989,喜 ,Joy
しっかり 985,しっかり ,Firmly
警部 984,警部 ,Police Inspector
付 982,付 ,Attached
申し訳 978,申し訳 ,Sorry
地 977,地 ,earth
マシン 977,マシン ,Machine
骨 976,骨 ,Bones
検査 975,検査 ,inspection 
主人 973,主人 ,master
コーヒー 973,コーヒー ,coffee 
遅れ 972,遅れ ,delay 
別れ 970,別れ ,Farewell
現実 970,現実 ,reality 
館 970,館 ,Hall
ジム 969,ジム ,Gym 
全 968,全 ,All
誓 968,誓 ,oath
去 967,去 ,Leaving
触 966,触 ,touch
地獄 962,地獄 ,hell
メッセージ 960,メッセージ ,message 
気付 956,気付 ,Notice
誘拐 954,誘拐 ,Kidnapping
ニューヨーク 954,ニューヨーク ,new york 
脳 952,脳 ,brain 
毎日 951,毎日 ,every day 
部下 950,部下 ,subordinate 
そっち 950,そっち ,That way
合 949,合 ,If
過ご 949,過ご ,Spend
船長 949,船長 ,captain
貰 947,貰 ,Get
似 944,似 ,Similar
フランク 943,フランク ,Frank
侵入 942,侵入 ,Intrusion
マイケル 941,マイケル ,Michael
殴 941,殴 ,Beaten
立て 940,立て ,Stand
酒 938,酒 ,Alcohol
マイク 937,マイク ,microphone 
魔法 936,魔法 ,Magic
そりゃ 935,そりゃ ,"Well,"
きみ 935,きみ ,you 
陛下 933,陛下 ,Your Majesty
どちら 932,どちら ,Which
ゆっくり 931,ゆっくり ,slowly 
麻薬 930,麻薬 ,Drugs
ボク 930,ボク ,Me
遺体 927,遺体 ,Corpse
兵士 926,兵士 ,soldier 
姉 926,姉 ,Older sister
ファイル 925,ファイル ,File
食 924,食 ,Food
幸運 923,幸運 ,good luck
捜 923,捜 ,search
結構 922,結構 ,fine 
おお 917,おお ,oh 
能力 916,能力 ,ability
of 913,of ,of
側 913,側 ,Side
関わ 913,関わ ,Involved
