Korean Together,Korean,Ko to En
같이 7389,같이 ,together 
응 7315,응 ,huh 
이게 7214,이게 ,this 
없어요 7085,없어요 ,no 
괜찮아 6795,괜찮아 ,are you okay 
오늘 6761,오늘 ,today 
말이야 6569,말이야 ,That's what I'm saying
줄 6489,줄 ,line 
또 6475,또 ,also 
널 6471,널 ,you 
누가 6365,누가 ,who 
어떤 6314,어떤 ,which 
아주 6245,아주 ,very 
말 6216,말 ,word 
아직 6197,아직 ,yet 
안돼 6051,안돼 ,no 
진짜 6020,진짜 ,really 
모두 5982,모두 ,every 
마 5950,마 ,mind 
같은 5923,같은 ,same 
여기서 5892,여기서 ,Here
어서 5851,어서 ,hurry 
그는 5842,그는 ,he is 
위해 5837,위해 ,for 
해요 5828,해요 ,do 
일이 5817,일이 ,Work
하지 5768,하지 ,summer solstice 
엄마 5728,엄마 ,mom 
바로 5628,바로 ,as soon as 
가 5623,가 ,go 
근데 5547,근데 ,however 
알고 5534,알고 ,I know
이렇게 5516,이렇게 ,like this 
빨리 5487,빨리 ,hurry 
있습니다 5474,있습니다 ,there is 
이거 5373,이거 ,this 
전에 5366,전에 ,before 
어 5306,어 ,uh 
아뇨 5297,아뇨 ,no 
계속 5257,계속 ,continue 
닥터 5237,닥터 ,Doctor
얼마나 5234,얼마나 ,how much 
될 5234,될 ,Will be
알았어 5217,알았어 ,okay 
않아 5207,않아 ,No
제발 5182,제발 ,please 
있지 5135,있지 ,Yes
겁니다 5062,겁니다 ,I'm scared
어디 5021,어디 ,where 
사람이 5021,사람이 ,People
그가 5006,그가 ,He
안녕 4963,안녕 ,hi 
좋아요 4954,좋아요 ,great 
같아 4864,같아 ,Same
우리는 4862,우리는 ,we are 
그래요 4795,그래요 ,is it so 
당신을 4767,당신을 ,You
자 4745,자 ,ruler 
그걸 4724,그걸 ,That
두 4698,두 ,two 
아니에요 4609,아니에요 ,no 
있을 4603,있을 ,There will be
때문에 4598,때문에 ,because 
대해 4598,대해 ,about 
아빠 4551,아빠 ,dad 
몇 4444,몇 ,some 
사람 4444,사람 ,person 
했어 4395,했어 ,I did
뭐야 4377,뭐야 ,what 
수도 4314,수도 ,capital 
많이 4279,많이 ,many 
집에 4262,집에 ,at home 
거지 4262,거지 ,the poor 
일을 4262,일을 ,Work
저는 4257,저는 ,I am 
음 4240,음 ,hmm 
그렇지 4223,그렇지 ,yes 
함께 4219,함께 ,together 
만약 4121,만약 ,if 
하나 4093,하나 ,one 
저기 4083,저기 ,excuse me 
고마워요 4022,고마워요 ,thank you 
항상 4011,항상 ,always 
나한테 3977,나한테 ,To me
잠깐 3930,잠깐 ,for a moment 
가서 3900,가서 ,Go
가장 3891,가장 ,most 
돼요 3874,돼요 ,Okay
거죠 3869,거죠 ,"Yeah, right"
가자 3852,가자 ,let's go 
맞아 3840,맞아 ,that's right 
보고 3833,보고 ,report 
와 3760,와 ,and 
그거 3753,그거 ,that 
말을 3751,말을 ,To speak
괜찮아요 3737,괜찮아요 ,are you okay 
아무도 3713,아무도 ,no one 
없는 3704,없는 ,None
안녕하세요 3692,안녕하세요 ,hello 
몰라 3643,몰라 ,I don't know 
일 3632,일 ,Day 
많은 3615,많은 ,many 
당신의 3571,당신의 ,your 
아무것도 3559,아무것도 ,nothing 
그러니까 3552,그러니까 ,therefore 
큰 3550,큰 ,big 
알아요 3539,알아요 ,i know 
그의 3534,그의 ,His
뭐가 3531,뭐가 ,what 
고마워 3506,고마워 ,thank you 
그만 3505,그만 ,stop 
했어요 3496,했어요 ,i did it 
젠장 3494,젠장 ,shit 
사람들이 3477,사람들이 ,People
거에요 3393,거에요 ,It is
이걸 3384,이걸 ,This
그럴 3382,그럴 ,That's right
것도 3382,것도 ,That too
말이 3381,말이 ,Horse
이미 3354,이미 ,already 
야 3341,야 ,hey 
그를 3333,그를 ,Him
뭔가 3327,뭔가 ,Something
온 3321,온 ,on 
이봐 3265,이봐 ,hey 
아니면 3257,아니면 ,or not 
같아요 3253,같아요 ,It's the same
그런데 3244,그런데 ,however 
아니라 3237,아니라 ,No
세상에 3220,세상에 ,oh my god 
있다고 3217,있다고 ,There is
있고 3199,있고 ,There is
뭐라고 3198,뭐라고 ,what 
예 3184,예 ,yes 
절대 3177,절대 ,Never
말야 3174,말야 ,I mean
당장 3149,당장 ,Right now
그래도 3107,그래도 ,still 
대한 3102,대한 ,About Korea
말은 3097,말은 ,The horse
거기 3056,거기 ,there 
전부 3041,전부 ,entire 
둘 3036,둘 ,two 
그녀는 3033,그녀는 ,she is 
니가 3031,니가 ,you 
갈 3025,갈 ,conflict 
않아요 3006,않아요 ,No
자기 2987,자기 ,self 
있죠 2986,있죠 ,Yes
하면 2986,하면 ,If you do
가지고 2965,가지고 ,have 
그들이 2937,그들이 ,They
참 2882,참 ,really 
너도 2877,너도 ,you also 
됐어 2869,됐어 ,it's okay 
미안해 2864,미안해 ,Sorry 
것을 2827,것을 ,That thing
여긴 2825,여긴 ,Here
아무 2822,아무 ,any 
사람은 2781,사람은 ,People
감사합니다 2781,감사합니다 ,thank you 
다들 2778,다들 ,Everyone
어때 2763,어때 ,how 
씨 2756,씨 ,See
곧 2751,곧 ,soon 
엄마가 2747,엄마가 ,Mom
나를 2730,나를 ,me 
이젠 2729,이젠 ,Now
아마 2725,아마 ,maybe 
그들은 2717,그들은 ,they 
얘기 2716,얘기 ,talk 
꼭 2712,꼭 ,please 
있잖아 2709,있잖아 ,You know
저도 2705,저도 ,me too 
지금은 2697,지금은 ,now 
그녀가 2692,그녀가 ,She
중 2681,중 ,middle 
있다 2661,있다 ,there is 
시간 2657,시간 ,hour 
먼저 2655,먼저 ,first 
우릴 2641,우릴 ,Us
말고 2638,말고 ,No
사람을 2602,사람을 ,People
수가 2596,수가 ,medical charge 
봐요 2583,봐요 ,see 
있는데 2562,있는데 ,There is
알았어요 2551,알았어요 ,all right 
해야 2544,해야 ,Should
있었어 2540,있었어 ,There was
우리의 2533,우리의 ,Our
않을 2531,않을 ,Won't
방금 2511,방금 ,just now 
완전 2494,완전 ,Totally
된 2482,된 ,Done
동안 2470,동안 ,during 
시간이 2466,시간이 ,Time
싶어 2444,싶어 ,I want to
본 2439,본 ,copy 
일은 2432,일은 ,The work
친구 2428,친구 ,friend 
들어 2424,들어 ,Come in
안에 2413,안에 ,Inside
번 2402,번 ,th 
자네 2399,자네 ,you 
합니다 2349,합니다 ,do 
사실 2347,사실 ,actually 
한번 2344,한번 ,once 
대체 2317,대체 ,Alternative
같은데 2315,같은데 ,Same
생각해 2286,생각해 ,Think about it
맞아요 2281,맞아요 ,that's right 
볼 2280,볼 ,cheek 
혼자 2273,혼자 ,alone 
자네가 2273,자네가 ,You
절 2230,절 ,I 
그러니 2226,그러니 ,so 
선생님 2218,선생님 ,teacher 
사람들은 2207,사람들은 ,People
문제가 2200,문제가 ,The problem is
다음 2184,다음 ,next 
물론 2178,물론 ,of course 
거의 2172,거의 ,almost 
일이야 2172,일이야 ,It's work
없습니다 2172,없습니다 ,doesn't exist 
아빠가 2168,아빠가 ,Dad
되는 2162,되는 ,Become
그러면 2150,그러면 ,then 
순 2137,순 ,Pure
가는 2134,가는 ,Going
말도 2115,말도 ,Nonsense
이리 2113,이리 ,Come here
있었어요 2111,있었어요 ,There was
맙소사 2099,맙소사 ,oh my god 
내일 2095,내일 ,tomorrow 
있으면 2089,있으면 ,If there is
잠깐만 2089,잠깐만 ,wait for a sec 
싫어 2085,싫어 ,no 
중요한 2079,중요한 ,important 
내게 2078,내게 ,To me
말해 2076,말해 ,say 
이상 2070,이상 ,more 
거라고 2068,거라고 ,I think so
아는 2058,아는 ,know 
너는 2054,너는 ,you 
새 2053,새 ,bird 
적 2050,적 ,enemy 
전혀 2046,전혀 ,at all 
여자 2037,여자 ,female 
새로운 2007,새로운 ,new 
너희 1989,너희 ,you guys 
왔어 1976,왔어 ,I'm here
아직도 1969,아직도 ,still 
가지 1967,가지 ,egg plant 
나와 1966,나와 ,Come out
알 1945,알 ,egg 
싶지 1943,싶지 ,I don't want to
여기에 1941,여기에 ,Here
원하는 1940,원하는 ,Want
돈 1937,돈 ,money 
필요 1933,필요 ,necessary 
도움이 1931,도움이 ,Help
그녀를 1926,그녀를 ,Her
몰라요 1921,몰라요 ,I don't know 
작은 1920,작은 ,small 
혹시 1911,혹시 ,if 
미안해요 1897,미안해요 ,sorry 
나쁜 1896,나쁜 ,bad 
죄송해요 1891,죄송해요 ,sorry 
모르겠어 1891,모르겠어 ,I don't know 
가요 1888,가요 ,song 
알지 1867,알지 ,I know
밖에 1860,밖에 ,Outside
직접 1856,직접 ,Directly
있나 1855,있나 ,Is there
니 1848,니 ,you 
해도 1847,해도 ,Even if I do it
하죠 1841,하죠 ,Let's do it
했는데 1827,했는데 ,I did it
필요해 1826,필요해 ,I need it
아니요 1825,아니요 ,no 
적이 1807,적이 ,The enemy
있나요 1802,있나요 ,Is there one?
갖고 1801,갖고 ,Have
돈을 1798,돈을 ,Money
주세요 1795,주세요 ,please 
어디서 1783,어디서 ,where 
것이 1774,것이 ,That is
거요 1769,거요 ,Yes
위한 1759,위한 ,For
것은 1756,것은 ,It is
없이 1756,없이 ,Without
나중에 1752,나중에 ,later 
아버지 1743,아버지 ,Father
나랑 1742,나랑 ,With me
됐어요 1736,됐어요 ,Okay
마세요 1735,마세요 ,Don't drink
차 1717,차 ,car 
언제 1717,언제 ,when 
그저 1715,그저 ,just 
생각 1711,생각 ,thought 
했지 1709,했지 ,I did
봤어 1704,봤어 ,I saw it
해서 1704,해서 ,So
시간을 1699,시간을 ,Time
마지막 1688,마지막 ,last 
알겠어 1686,알겠어 ,okay 
왜냐면 1679,왜냐면 ,Because
위해서 1674,위해서 ,For the sake of
엄청 1669,엄청 ,A lot
알겠습니다 1665,알겠습니다 ,All right 
오래 1664,오래 ,long time 
기다려 1657,기다려 ,wait 
아닙니다 1648,아닙니다 ,no 
있는지 1640,있는지 ,Is there
알겠어요 1634,알겠어요 ,all right 
제일 1633,제일 ,most 
지난 1621,지난 ,past 
그렇죠 1619,그렇죠 ,"Yes, that's right"
죽은 1617,죽은 ,Dead
제대로 1616,제대로 ,Properly
아니지 1615,아니지 ,No
있다면 1599,있다면 ,If there is
보면 1595,보면 ,If you look
우리를 1594,우리를 ,Us
짓을 1593,짓을 ,Do something
남자 1589,남자 ,man 
너가 1588,너가 ,you are 
있다는 1587,있다는 ,There is
누구 1578,누구 ,who 
보여 1575,보여 ,Show me
왔어요 1574,왔어요 ,came 
너한테 1569,너한테 ,To you
여러분 1566,여러분 ,everyone 
완전히 1561,완전히 ,Completely
너의 1560,너의 ,your 
것이다 1560,것이다 ,It is
밤 1558,밤 ,night 
소리 1553,소리 ,sound 
없지 1548,없지 ,No
벌써 1546,벌써 ,already 
모르겠어요 1541,모르겠어요 ,I don't know 
말이지 1538,말이지 ,"Yeah, right"
올 1536,올 ,all 
사람들을 1534,사람들을 ,People
처음 1534,처음 ,first 
말이죠 1532,말이죠 ,That's right
사람들 1529,사람들 ,people 
그녀의 1524,그녀의 ,Her
멋진 1523,멋진 ,wonderful 
왜요 1521,왜요 ,why 
정말로 1511,정말로 ,really 
이름은 1506,이름은 ,The name is
와서 1498,와서 ,Come
대해서 1497,대해서 ,About
여보 1487,여보 ,honey 
조금 1482,조금 ,little 
않았어 1482,않았어 ,Didn't
말이에요 1474,말이에요 ,That's what I'm saying
이름이 1474,이름이 ,The name is
여보세요 1466,여보세요 ,hello 
서로 1462,서로 ,each other 
안돼요 1461,안돼요 ,No way
죽을 1458,죽을 ,Die
첫 1452,첫 ,First
매우 1450,매우 ,very 
사랑해 1450,사랑해 ,love you 
오늘은 1447,오늘은 ,today 
싶은 1444,싶은 ,I want to
어디로 1439,어디로 ,Where to
단지 1438,단지 ,only 
아닌 1429,아닌 ,No
나가 1429,나가 ,get out 
뿐이야 1427,뿐이야 ,That's all
미안 1422,미안 ,sorry 
확실히 1421,확실히 ,surely 
싶어요 1417,싶어요 ,I want to
죄송합니다 1417,죄송합니다 ,sorry 
때까지 1415,때까지 ,Until
없고 1410,없고 ,None
어때요 1404,어때요 ,how is it 
살 1403,살 ,fat 
당연히 1402,당연히 ,of course 
데리고 1400,데리고 ,Take it
필요한 1399,필요한 ,Needed
없다 1397,없다 ,does not exist 
후 1397,후 ,after 
가고 1395,가고 ,good night 
글쎄 1395,글쎄 ,well 
않는 1394,않는 ,Not
했죠 1389,했죠 ,I did
나의 1389,나의 ,my 
별로 1383,별로 ,not really 
않은 1377,않은 ,Not
라고 1377,라고 ,Said
집 1376,집 ,house 
여전히 1373,여전히 ,still 
없을 1372,없을 ,There won't be any
딱 1372,딱 ,Exactly
있어서 1370,있어서 ,Because
이야기 1368,이야기 ,story 
엄마는 1365,엄마는 ,Mom
부인 1363,부인 ,ma'am 
하는데 1362,하는데 ,Doing it
않고 1362,않고 ,Not
알았지 1356,알았지 ,Okay
아니고 1350,아니고 ,No
여자가 1346,여자가 ,The woman
문 1345,문 ,door 
되지 1343,되지 ,No
거기서 1342,거기서 ,There
훨씬 1339,훨씬 ,Much more
아버지가 1332,아버지가 ,My father
망할 1331,망할 ,Fuck
뭔지 1326,뭔지 ,What is it
손 1324,손 ,hand 
수술 1321,수술 ,surgery 
듣고 1318,듣고 ,Listen
어쩌면 1318,어쩌면 ,Maybe
보세요 1317,보세요 ,look 
생각이 1314,생각이 ,I think
어느 1313,어느 ,any 
그러지 1311,그러지 ,"Yeah, right"
되면 1308,되면 ,If it happens
아마도 1308,아마도 ,maybe 
준비 1308,준비 ,preparation 
전화 1300,전화 ,phone call 
뒤에 1296,뒤에 ,behind 
도대체 1291,도대체 ,What the heck
너를 1290,너를 ,You
당신도 1289,당신도 ,You too
것처럼 1286,것처럼 ,Like
않으면 1284,않으면 ,If not
말하는 1275,말하는 ,Talking
최고의 1274,최고의 ,The best
말하지 1271,말하지 ,Don't tell
세 1271,세 ,count 
모르는 1269,모르는 ,I don't know
유일한 1267,유일한 ,The only
갑자기 1262,갑자기 ,suddenly 
이봐요 1258,이봐요 ,Hey there
건가요 1251,건가요 ,Is it?
없다고 1250,없다고 ,No way
것입니다 1247,것입니다 ,It is
있잖아요 1243,있잖아요 ,You know
되고 1242,되고 ,Become
어쨌든 1239,어쨌든 ,anyway 
가진 1239,가진 ,Have
이번 1239,이번 ,this time 
뭐하는 1236,뭐하는 ,What are you doing
후에 1233,후에 ,later 
친구가 1225,친구가 ,A friend
지 1224,지 ,ji 
신경 1224,신경 ,Nerve
그만해 1224,그만해 ,stop 
누구야 1222,누구야 ,who is this 
당신에게 1221,당신에게 ,To you
늘 1220,늘 ,always 
없었어 1215,없었어 ,There wasn't any
그들을 1214,그들을 ,Them
있게 1214,있게 ,Have
알잖아 1210,알잖아 ,You know
누군가 1208,누군가 ,Someone
분명히 1206,분명히 ,Obviously
생각을 1203,생각을 ,Thinking about
존 1200,존 ,John
일단 1198,일단 ,first 
가야 1198,가야 ,Go
걱정 1194,걱정 ,worry 
보자 1192,보자 ,see 
매일 1188,매일 ,everyday 
수는 1184,수는 ,The number is
아침 1182,아침 ,morning 
말할 1181,말할 ,To say
말아요 1169,말아요 ,Stop it
모두가 1168,모두가 ,Everyone
않았어요 1164,않았어요 ,I didn't
얘기를 1162,얘기를 ,Talk
봤어요 1158,봤어요 ,I saw it
대신 1157,대신 ,instead 
마치 1156,마치 ,like 
건데 1154,건데 ,But
자넨 1154,자넨 ,You
했잖아 1153,했잖아 ,I did it
둘이 1151,둘이 ,Two
당신과 1149,당신과 ,With you
집으로 1148,집으로 ,Home
한다 1146,한다 ,Do
두고 1143,두고 ,Leave it
이름을 1140,이름을 ,Name
있네 1139,있네 ,Yes
그들의 1139,그들의 ,Their
뭔데 1133,뭔데 ,What is it?
금방 1132,금방 ,Soon
사는 1132,사는 ,Living
좋아하는 1132,좋아하는 ,I like it
찾을 1128,찾을 ,Find
맘에 1127,맘에 ,I like it
결국 1126,결국 ,at last 
이유가 1125,이유가 ,The reason is
필요해요 1125,필요해요 ,I need it
중에 1123,중에 ,Among
그때 1122,그때 ,at that time 
보는 1120,보는 ,Seeing
너랑 1119,너랑 ,With you
아이를 1119,아이를 ,The child
없잖아 1113,없잖아 ,There isn't any
한다고 1112,한다고 ,I said I would
기분 1107,기분 ,mood 
하게 1103,하게 ,Hage
놈이 1099,놈이 ,That guy
못해 1099,못해 ,I can't
우리에게 1099,우리에게 ,To us
가면 1098,가면 ,Mask
저를 1097,저를 ,Me
잡아 1094,잡아 ,Grab it
집에서 1093,집에서 ,at home 
우리도 1093,우리도 ,Us too
기분이 1091,기분이 ,I feel
저희 1090,저희 ,Us
찾고 1089,찾고 ,Looking for
손을 1088,손을 ,Hand
거다 1085,거다 ,That's right
어제 1083,어제 ,yesterday 
남자가 1082,남자가 ,The man
뭐지 1081,뭐지 ,what 
앞으로 1081,앞으로 ,from now on 
잠깐만요 1076,잠깐만요 ,Just a moment
자신의 1072,자신의 ,One's own
애가 1069,애가 ,Love
이상한 1067,이상한 ,weird 
막 1066,막 ,Just
먹고 1065,먹고 ,Eat
아이 1064,아이 ,kid 
언제나 1062,언제나 ,always 
여기가 1056,여기가 ,Here it is
아들 1056,아들 ,son 
알게 1055,알게 ,I know
하세요 1055,하세요 ,do 
총 1053,총 ,gun 
스스로 1052,스스로 ,self 
방법이 1049,방법이 ,The method
있던 1048,있던 ,Was there
해봐 1047,해봐 ,Try it
아님 1046,아님 ,No
때가 1035,때가 ,When
아니죠 1031,아니죠 ,No
했던 1029,했던 ,Did
조용히 1027,조용히 ,Quietly
밤에 1026,밤에 ,At night
미친 1025,미친 ,Crazy
텐데 1019,텐데 ,But
머리 1016,머리 ,head 
않습니다 1014,않습니다 ,Doesn't
잘못 1011,잘못 ,wrong 
고맙습니다 1009,고맙습니다 ,Thank you 
있어야 1009,있어야 ,Must have
왜냐하면 1008,왜냐하면 ,because 
앉아 1008,앉아 ,Sit down
아침에 1006,아침에 ,In the morning
죽일 1005,죽일 ,Kill
환자 1004,환자 ,patient 
양 1003,양 ,sheep 
없죠 1002,없죠 ,Nope
일어나 1002,일어나 ,wake up 
믿을 1002,믿을 ,Believe
같네요 1001,같네요 ,It's the same
건가 1001,건가 ,Is it okay?
게다가 998,게다가 ,furthermore 
알렉스 998,알렉스 ,Alex
타고 994,타고 ,Ride
데 992,데 ,place 
들었어 991,들었어 ,I heard
눈을 989,눈을 ,Eyes
나에게 988,나에게 ,to me 
없었어요 987,없었어요 ,There wasn't any
만나서 985,만나서 ,meet 
진정해 983,진정해 ,calm down 
이것 982,이것 ,this 
더이상 982,더이상 ,No more
보지 981,보지 ,See
방법을 979,방법을 ,How to
원래 976,원래 ,usually 
솔직히 975,솔직히 ,to be honest 
좋지 975,좋지 ,Good
하려고 973,하려고 ,To try
빌어먹을 972,빌어먹을 ,Fuck
총을 970,총을 ,Gun
길을 969,길을 ,The road
누군지 969,누군지 ,Who is it
아니라고 968,아니라고 ,No
자신을 967,자신을 ,yourself
여길 967,여길 ,Here
있지만 964,있지만 ,But
얼른 961,얼른 ,Hurry up
얘들아 958,얘들아 ,Hey guys
대로 953,대로 ,As usual
만든 951,만든 ,Made
놈 949,놈 ,That guy
조심해 949,조심해 ,be careful 
일에 946,일에 ,At work
따라 946,따라 ,according to 
술 944,술 ,alcohol 
정확히 941,정확히 ,Exactly
자기가 941,자기가 ,Honey
충분히 934,충분히 ,enough 
힘을 933,힘을 ,Strength
아저씨 930,아저씨 ,mister 
알겠지 928,알겠지 ,"Okay, I get it"
있었는데 927,있었는데 ,There was
사랑하는 927,사랑하는 ,Dear
기다리고 925,기다리고 ,Waiting
될거야 922,될거야 ,It will be
살아 922,살아 ,Alive
평생 919,평생 ,All my life
아까 919,아까 ,a moment ago 
얘야 918,얘야 ,Hey
눈 918,눈 ,eye 
거기에 917,거기에 ,There
애 917,애 ,baby 
분명 916,분명 ,Obviously
말하고 914,말하고 ,Speaking
역시 912,역시 ,also 
저희가 910,저희가 ,We
찾아 909,찾아 ,Find
걔가 907,걔가 ,He
이럴 906,이럴 ,Like this
저기요 905,저기요 ,hey 
너와 904,너와 ,With you
될까요 901,될까요 ,Will it work?
천천히 897,천천히 ,slowly 
문제 897,문제 ,problem 
수술을 896,수술을 ,Have surgery
좋았어 895,좋았어 ,It was good
어디에 893,어디에 ,where 
문을 890,문을 ,The door
맞지 888,맞지 ,Right
어딨어 886,어딨어 ,Where are you
조지 885,조지 ,George
아녜요 884,아녜요 ,No
저녁 883,저녁 ,dinner 
됩니다 883,됩니다 ,It's possible
마요 883,마요 ,Mayo
생각엔 881,생각엔 ,I think
만들어 879,만들어 ,Make
적어도 878,적어도 ,At least
애들 878,애들 ,Kids
개 876,개 ,dog 
잘했어 875,잘했어 ,good job 
그러나 875,그러나 ,however 
주 871,주 ,main 
괜찮은 869,괜찮은 ,Okay
생각은 869,생각은 ,The thought is
위에 869,위에 ,above 
가끔 868,가끔 ,sometimes 
있었던 867,있었던 ,Was there
간 866,간 ,liver 
잠시 866,잠시 ,for a moment 
알아서 865,알아서 ,Figure it out
곳에 864,곳에 ,In the place
집을 864,집을 ,House
그렇지만 864,그렇지만 ,but 
그레이 863,그레이 ,gray 
그럼요 863,그럼요 ,sure 
삶을 860,삶을 ,Life
마음에 858,마음에 ,In my heart
살고 858,살고 ,Live
들고 856,들고 ,Holding
분 854,분 ,minute 
그랬어 850,그랬어 ,That's right
차를 847,차를 ,Tea
옆에 846,옆에 ,Next to
아이가 846,아이가 ,The child
이번엔 844,이번엔 ,This time
저게 844,저게 ,That's it
아빠는 844,아빠는 ,Dad
괜찮을 844,괜찮을 ,It'll be okay
하자 843,하자 ,let's do it 
알았는데 842,알았는데 ,I thought so
생각해요 841,생각해요 ,I think
없는데 841,없는데 ,There isn't any
생각하는 840,생각하는 ,Thinking
아니잖아 840,아니잖아 ,"No, that's not true"
마지막으로 840,마지막으로 ,finally 
여자를 837,여자를 ,A woman
죽었어 837,죽었어 ,Dead
멍청한 836,멍청한 ,Stupid
훌륭한 834,훌륭한 ,excellent 
있었지 834,있었지 ,There was
정도 832,정도 ,degree 
베일리 832,베일리 ,Bailey
준비가 832,준비가 ,Ready
남은 832,남은 ,Remaining
있으니까 831,있으니까 ,Because it's there
싫어요 831,싫어요 ,"no, I do not want "
입니다 829,입니다 ,no see 
영원히 828,영원히 ,forever 
엄청난 827,엄청난 ,Huge
정신 826,정신 ,Mind
는 825,는 ,Is 
계세요 824,계세요 ,Are you there?
하는지 823,하는지 ,Doing it
좋을 823,좋을 ,Good
있었죠 821,있었죠 ,There was
간다 821,간다 ,Go
기회를 820,기회를 ,Opportunity
그대로 820,그대로 ,As is
하나도 820,하나도 ,Not even one
멈춰 818,멈춰 ,Stop
필요가 818,필요가 ,Need
도와줘 817,도와줘 ,Help me
다음에 817,다음에 ,next time 
앞에서 816,앞에서 ,In front
뭐든 814,뭐든 ,Anything
물 814,물 ,water 
밖으로 813,밖으로 ,Out
오는 813,오는 ,coming 
그렇다면 812,그렇다면 ,then 
미국 811,미국 ,USA 
말라고 811,말라고 ,Stop it
하지마 810,하지마 ,don't 
서 810,서 ,west 
말한 810,말한 ,Said
테니까 809,테니까 ,Because
앞에 809,앞에 ,In front
를 809,를 ,cast 
처럼 807,처럼 ,like 
저한테 806,저한테 ,To me
거고 806,거고 ,That's right
받아 805,받아 ,Accept
그것도 803,그것도 ,That too
요즘 803,요즘 ,recently 
믿어 802,믿어 ,Believe me
뒤로 802,뒤로 ,Back
놈들이 801,놈들이 ,Those guys
입고 797,입고 ,store 
보니 796,보니 ,Bonnie
속에 796,속에 ,Inside
잠시만요 795,잠시만요 ,wait a minute 
소리야 795,소리야 ,It's sound
들어봐 795,들어봐 ,Listen
자기야 793,자기야 ,babe 
헤이 792,헤이 ,hey 
에 791,에 ,to 
이해가 789,이해가 ,I understand
옷 789,옷 ,clothes 
들어가 788,들어가 ,Go in
아버지는 788,아버지는 ,My father
않을거야 787,않을거야 ,I won't
있소 787,있소 ,Yes
자네는 787,자네는 ,You
모르겠지만 787,모르겠지만 ,I don't know
누구도 782,누구도 ,No one
입 782,입 ,mouth 
어머니 781,어머니 ,mother 
특별한 781,특별한 ,special 
좋겠어 781,좋겠어 ,I wish
준 781,준 ,June 
그것은 780,그것은 ,that 
관한 779,관한 ,About
할게 778,할게 ,I'll do it
여기는 778,여기는 ,Here it is
언니 777,언니 ,Sister
환자가 777,환자가 ,The patient
갈게 776,갈게 ,I'll go
나야 775,나야 ,it's me 
제게 774,제게 ,To me
하루 774,하루 ,day 
단 773,단 ,step 
필 773,필 ,Phil
가세요 772,가세요 ,Go
끔찍한 772,끔찍한 ,Terrible
걸로 772,걸로 ,By the way
사랑 771,사랑 ,love 
일도 771,일도 ,Work too
아름다운 771,아름다운 ,beautiful 
년 771,년 ,year 
형 769,형 ,brother 
뭐요 765,뭐요 ,What
저런 764,저런 ,Oh my
별 763,별 ,star 
아니다 763,아니다 ,no 
받고 763,받고 ,Received
할거야 761,할거야 ,I will do it
쓸 759,쓸 ,Write
씨발 759,씨발 ,What the fuck
돈이 758,돈이 ,Money
그에게 758,그에게 ,To him
뭔가를 758,뭔가를 ,Something
마음을 755,마음을 ,My heart
문제는 753,문제는 ,The problem is
의 753,의 ,of 
서둘러 753,서둘러 ,Hurry up
못할 753,못할 ,Can't do it
없네 747,없네 ,None
끝났어 743,끝났어 ,It's over
있을거야 742,있을거야 ,There will be
머리를 740,머리를 ,Head
생각하지 740,생각하지 ,I don't think
